,Value,CountryName,CountryCode,Date,EconomicSupportIndex,population,Continent
0,-0.295307468,Australia,AUS,2020-01-01,7.967032967032967,24800000,Oceania
1,-7.003254372000001,Australia,AUS,2020-04-01,75.0,24800000,Oceania
2,3.403553685,Australia,AUS,2020-07-01,75.0,24800000,Oceania
3,3.127661985,Australia,AUS,2020-10-01,75.0,24800000,Oceania
4,-6.942499645,Iceland,ISL,2020-01-01,18.13186813186813,338000,Europe
5,-7.087206581,Iceland,ISL,2020-04-01,100.0,338000,Europe
6,3.84158831,Iceland,ISL,2020-07-01,100.0,338000,Europe
7,4.823446864,Iceland,ISL,2020-10-01,89.40217391304348,338000,Europe
8,-2.8825130839999997,United Kingdom,GBR,2020-01-01,13.653846153846153,66600000,Europe
9,-19.039337959,United Kingdom,GBR,2020-04-01,100.0,66600000,Europe
10,16.131886707,United Kingdom,GBR,2020-07-01,100.0,66600000,Europe
11,0.9754704959999999,United Kingdom,GBR,2020-10-01,100.0,66600000,Europe
12,-1.146032573,Estonia,EST,2020-01-01,17.994505494505493,1310000,Europe
13,-5.22255945,Estonia,EST,2020-04-01,72.11538461538461,1310000,Europe
14,2.507549818,Estonia,EST,2020-07-01,50.0,1310000,Europe
15,2.097786257,Estonia,EST,2020-10-01,50.0,1310000,Europe
16,-1.331010768,Denmark,DNK,2020-01-01,9.478021978021978,5750000,Europe
17,-6.769371898999999,Denmark,DNK,2020-04-01,78.15934065934066,5750000,Europe
18,5.198222298999999,Denmark,DNK,2020-07-01,87.5,5750000,Europe
19,0.607794065,Denmark,DNK,2020-10-01,90.76086956521739,5750000,Europe
20,-5.250324773,Spain,ESP,2020-01-01,10.164835164835164,46400000,Europe
21,-17.878839015,Spain,ESP,2020-04-01,86.53846153846153,46400000,Europe
22,16.412377136,Spain,ESP,2020-07-01,87.5,46400000,Europe
23,0.40525135100000004,Spain,ESP,2020-10-01,87.5,46400000,Europe
24,-0.56335631,Japan,JPN,2020-01-01,8.791208791208792,127000000,Asia
25,-8.298356652999999,Japan,JPN,2020-04-01,75.27472527472527,127000000,Asia
26,5.275692298,Japan,JPN,2020-07-01,100.0,127000000,Asia
27,2.8149721060000004,Japan,JPN,2020-10-01,87.77173913043478,127000000,Asia
28,-1.4229919290000002,Norway,NOR,2020-01-01,4.945054945054945,5350000,Europe
29,-4.599674659,Norway,NOR,2020-04-01,37.5,5350000,Europe
30,4.458578641,Norway,NOR,2020-07-01,37.5,5350000,Europe
31,0.6360596279999999,Norway,NOR,2020-10-01,37.5,5350000,Europe
32,-0.351279112,Hungary,HUN,2020-01-01,7.6923076923076925,9690000,Europe
33,-14.471609534,Hungary,HUN,2020-04-01,81.31868131868131,9690000,Europe
34,10.982890025,Hungary,HUN,2020-07-01,65.48913043478261,9690000,Europe
35,1.3715538669999998,Hungary,HUN,2020-10-01,32.06521739130435,9690000,Europe
36,-1.9306915,Canada,CAN,2020-01-01,13.000785545954438,37000000,North America
37,-11.435221985,Canada,CAN,2020-04-01,81.77001569858713,37000000,North America
